REVIEW_INDEX,WEBSITE_INDEX,POI_INDEX,REVIEWER_URL,REVIEW_ID,REVIEW_DATE,REVIEW_RATING,REVIEW_TITLE,REVIEW_BODY,DATE_OF_EXPERIENCE,TRIP_TYPE,REVIEW_CRAWLED_TIME
,1,76,https://www.tripadvisor.com.sg/Profile/serumz,699993641,17-08-2019,4,Beautiful & mesmerizing,"This is a beautiful temple situated at Bugis. Lots if local and nearby tourists travel here to do their prayers and offerings to the Goddess of Mercy.

Plenty of stalls outside selling beautifully arranged flowers or bouquets. Worshippers are organized thus it is easy if you just plan for a visit.

No photography is allowed though inside the chambers",08-2019,Family,2020-01-31 17:04:11.586776
,1,76,https://www.tripadvisor.com.sg/Profile/SK L,608929561,21-08-2018,5,"Tourist attraction, Religious praying.","好灵验的大慈大悲观音菩萨。 Located at Bugis, this Temple is so famous for its' prayer getting answered. Conveniently located at Central of Singapore,surrounded by many shooing malls, eateries etc.",08-2018,Family,2020-01-31 17:04:11.939769
,1,76,https://www.tripadvisor.com.sg/Profile/caroltay2018,603720122,07-08-2018,4,Goddess of Mercy Waterloo Street Singapore,This temple is famous for her Goddess of Mercy... It is very crowded during festive season.. Many Chinese comes here to ask favor from the Goddess and seemed most have their wish granted.,06-2018,Family,2020-01-31 17:04:12.301847
,1,76,https://www.tripadvisor.com.sg/Profile/robert_bos53,595119754,11-07-2018,4,Chinese buddhism in action,"A great place close to Bughi street to see the religious practice of Singapore Chinese. The temple is dedicated to Kuan Yin and people come to pray and predict their fortune in interesting rituals. The temple is freely accessible, but no photographs inside.",07-2018,Family,2020-01-31 17:04:12.664145
,1,76,https://www.tripadvisor.com.sg/Profile/angieng0908,588672442,19-06-2018,5,Bustling with devotees,One of the oldest and more popular temple for both devotees and tourist. Its located centrally at Bugis and its bustling with people everyday. Operation Hours: 6am to 6pm,06-2018,Family,2020-01-31 17:04:13.024450
,1,76,https://www.tripadvisor.com.sg/Profile/Noel N,546421768,10-12-2017,4,Very popular temple,An attraction in Singapore. Always crowded during the weekends. People come from far places to seek for a blessed year.,12-2017,Family,2020-01-31 17:04:13.371930
,1,76,https://www.tripadvisor.com.sg/Profile/tay3111,532221370,12-10-2017,4,四马路观音堂 (Si Ma Lu Guan Yin Tang),"Begin in 1884,known as 四马路观音观堂 (Si Ma Lu Guan Yin Tang) and reconstructed in 1895.At world war 2,it's become refuge and in 1983 the new building was constructed to replace the old 1895 building.A large golden statue of Guan Yin (观音) was in the middle of temple. This Kuan Yin Thong Hood Cho Temple or 四马路观音观堂 (Si Ma Lu Guan Yin Tang) was A must visit attraction for buddhist,historical and culture lover.",12-2016,Family,2020-01-31 17:04:13.789589
,1,76,https://www.tripadvisor.com.sg/Profile/Chris K,523665483,12-09-2017,3,A place of Chinese Heritage in Singapore,"To get to the temple first you have to get to the Bugis MRT. Take the Exit to the Bugis Junction. Then cross the road to the Bugis Street. Pass all the vendors where they sell souvenirs, bags, t-shirts, food, fruits, juices on the way. Its an interesting crowded little place. After passing through the Bugis Street, you will need to walk for about another 5 mins to the temple. You can ask for Waterloo street or just for Kuan Yin Temple.
The admission is free. You can offer incense sticks near the entrance. Then into the main hall. A large golden statue of Kuan Yin is placed in the middle. No photos are allowed. You can pray like others and you can also use the fortune telling Chinese sticks. They are offered for free and you can get the note back from the counter about the fortune. The note is written in both Chinese and English. Some sweets are also given away at another counter where you can also donate some cash.
I had a very interesting day at Bugis and around.",08-2017,Family,2020-01-31 17:04:14.191581
,1,76,https://www.tripadvisor.com.sg/Profile/Edward W,502398204,16-07-2017,5,A popular Buddhist temple,This popular Buddhist temple is located along Waterloo Street. The temple is easily accessible and is about 5 to 10 minutes away from the Bugis MRT Station. Do note that the temple will be very crowded with devotees on the 1st and 15th of every lunar month.,07-2017,Family,2020-01-31 17:04:14.585535
,1,76,https://www.tripadvisor.com.sg/Profile/Taipei921,457488299,06-02-2017,5,The Goddess of Mercy and Compassion,"This is a very famous temple in Singapore, and one that never fails to attract worshippers, be them local or tourists. On any other day, you will find devotees crowding the grand hall, clasping the jossticks in hands , heads bowed in prayers, first facing towards the sky and then towards the grand hall. Massive crowds descent on Kuan Yin Thong Hood Cho Temple during major festive seasons and on every 1st or 15th of the lunar calendar monthly. On Lunar New Year (also known as Chinese New Year), throngs of devotees and worshippers gathered to pray, and make offerings for an auspicious start to the new year. It is indeed a sight to behold!

This is a Buddhist temple, and Guan Yin is the merciful diety revered there. She is the Godess of Mercy and Compassion, and buddhist all over the world reveres and worships her, with many seeking divination for businesses, home, relationships and money. The ever increasing number of worshippers at any day is a very good indicator of the people's belief in the Goddess.

Note: Please respect the temple and the worshippers. Entry is free and is opened everyday till evening. There are hawkers peddling lotus, flowers, and joss sticks outside the temple for worshippers. Just know that joss sticks are provided free of charge by worshippers just at the door of the temple, so you do not need to buy any. Beware of pickpockets, as this is a very crowded place, and you will do well to hold your bags and belongings closely to you at all times. If needed, you can seek help from the security guards manning the entrance to the grand hall. Take off your shoes when stepping onto the big red carpet in the grand hall. No lighted jossticks allowed inside the payer hall. Donations are welcome and much appreciated.",01-2017,Family,2020-01-31 17:04:14.954588
